الاسم,الإجمالي,أحياء,متوفون,يحتاج_مراجعة,محمد,خلف,سعد,ناصر,زويّد بن محمد,لويحق بن محمد,سالم بن محمد,محمد بن خلف,عبدالله بن خلف,خلف بن خلف,ناصر بن سعد,علي بن سعد,سعود بن سعد,عبدالله بن ناصر,صقر بن ناصر,سعد بن ناصر,محمد بن ناصر,سعود بن ناصر
عمار,3,3,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
جواد,3,3,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
أجود,3,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0
غيث,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2
خيال,3,3,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
مازن,3,3,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
هتان,3,3,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
هلال,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
خليف,2,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
عادل,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
عقاب,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
جعيثن,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
مجيد,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
أيوب,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
معتز,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
مطر,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
يحيى,2,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
زايد,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
فايز,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
خطاب,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
وائل,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
مالك,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
